country,animal,element,year,value
Australia,Cattle,Export Quantity,1996,1161930
Australia,Cattle,Export Quantity,1997,1530584
Australia,Cattle,Export Quantity,1998,1003630
Australia,Cattle,Export Quantity,1999,1387184
Australia,Sheep,Export Quantity,1973,1134730
Australia,Sheep,Export Quantity,1974,1060464
Australia,Sheep,Export Quantity,1975,1448935
Australia,Sheep,Export Quantity,1976,1844856
Australia,Sheep,Export Quantity,1977,3388203
Australia,Sheep,Export Quantity,1978,4123702
Australia,Sheep,Export Quantity,1979,3864755
Australia,Sheep,Export Quantity,1980,6161946
Australia,Sheep,Export Quantity,1981,5740378
Australia,Sheep,Export Quantity,1982,6009382
Australia,Sheep,Export Quantity,1983,7003785
Australia,Sheep,Export Quantity,1984,6348571
Australia,Sheep,Export Quantity,1985,6256188
Australia,Sheep,Export Quantity,1986,6368494
Australia,Sheep,Export Quantity,1987,7658000
Australia,Sheep,Export Quantity,1988,6881156
Australia,Sheep,Export Quantity,1989,6374347
Australia,Sheep,Export Quantity,1990,4334026
Australia,Sheep,Export Quantity,1991,3308076
Australia,Sheep,Export Quantity,1992,4453720
Australia,Sheep,Export Quantity,1993,5117659
Australia,Sheep,Export Quantity,1994,5499000
Australia,Sheep,Export Quantity,1995,5801725
Australia,Sheep,Export Quantity,1996,5820840
Australia,Sheep,Export Quantity,1997,5267168
Australia,Sheep,Export Quantity,1998,5117443
Australia,Sheep,Export Quantity,1999,5086442
Australia,Sheep,Export Quantity,2000,5421408
Australia,Sheep,Export Quantity,2001,6818250
Australia,Sheep,Export Quantity,2002,6076802
Australia,Sheep,Export Quantity,2003,4742432
Australia,Sheep,Export Quantity,2004,3397140
Australia,Sheep,Export Quantity,2005,4184920
Australia,Sheep,Export Quantity,2006,4185538
Australia,Sheep,Export Quantity,2007,3773029
Australia,Sheep,Export Quantity,2008,4214989
Australia,Sheep,Export Quantity,2009,3567609
Australia,Sheep,Export Quantity,2010,2978154
Australia,Sheep,Export Quantity,2011,2308449
Australia,Sheep,Export Quantity,2012,2279622
Australia,Sheep,Export Quantity,2013,1973418
Belgium,Pigs,Import Quantity,2007,1182083
Belgium,Pigs,Import Quantity,2008,1235613
Belgium,Pigs,Import Quantity,2009,1451219
Belgium,Pigs,Import Quantity,2010,1399383
Belgium,Pigs,Import Quantity,2011,1280443
Belgium,Pigs,Import Quantity,2012,1219796
Belgium,Pigs,Import Quantity,2013,1152767
Belgium-Luxembourg,Pigs,Import Quantity,1981,1002733
Belgium-Luxembourg,Pigs,Import Quantity,1982,1052074
Belgium-Luxembourg,Pigs,Import Quantity,1983,1104918
Belgium-Luxembourg,Pigs,Import Quantity,1984,1332649
Belgium-Luxembourg,Pigs,Import Quantity,1985,1159991
Belgium-Luxembourg,Pigs,Import Quantity,1986,1638019
Belgium-Luxembourg,Pigs,Import Quantity,1987,1805307
Belgium-Luxembourg,Pigs,Import Quantity,1988,1761014
Belgium-Luxembourg,Pigs,Import Quantity,1989,1805809
Belgium-Luxembourg,Pigs,Import Quantity,1990,1615785
Belgium-Luxembourg,Pigs,Import Quantity,1991,2042013
Belgium-Luxembourg,Pigs,Import Quantity,1992,1919420
Belgium-Luxembourg,Pigs,Import Quantity,1993,1721932
Belgium-Luxembourg,Pigs,Import Quantity,1994,1651049
Belgium-Luxembourg,Pigs,Import Quantity,1995,1473099
Belgium-Luxembourg,Pigs,Import Quantity,1996,1344623
Belgium-Luxembourg,Pigs,Export Quantity,1970,1097130
Belgium-Luxembourg,Pigs,Export Quantity,1971,1231645
Belgium-Luxembourg,Pigs,Export Quantity,1972,1243261
Belgium-Luxembourg,Pigs,Export Quantity,1973,1133461
Belgium-Luxembourg,Pigs,Export Quantity,1974,1084011
Belgium-Luxembourg,Pigs,Export Quantity,1975,1038934
Belgium-Luxembourg,Pigs,Export Quantity,1976,1097154
Belgium-Luxembourg,Pigs,Export Quantity,1977,1222177
Belgium-Luxembourg,Pigs,Export Quantity,1978,1164269
Belgium-Luxembourg,Pigs,Export Quantity,1979,1029238
Belgium-Luxembourg,Pigs,Export Quantity,1988,1007420
Belgium-Luxembourg,Pigs,Export Quantity,1989,1013968
Belgium-Luxembourg,Pigs,Export Quantity,1999,1079092
Bulgaria,Sheep,Export Quantity,1966,1005068
Bulgaria,Sheep,Export Quantity,1978,1042465
Bulgaria,Sheep,Export Quantity,1979,1454242
Bulgaria,Sheep,Export Quantity,1980,1533887
Bulgaria,Sheep,Export Quantity,1981,1387858
Bulgaria,Sheep,Export Quantity,1982,1218841
Bulgaria,Sheep,Export Quantity,1983,1277130
Bulgaria,Sheep,Export Quantity,1984,1288133
Bulgaria,Sheep,Export Quantity,1987,1118925
Bulgaria,Sheep,Export Quantity,1988,1348047
Bulgaria,Sheep,Export Quantity,1992,1477400
Canada,Cattle,Export Quantity,1992,1287434
Canada,Cattle,Export Quantity,1993,1212518
Canada,Cattle,Export Quantity,1994,1017257
Canada,Cattle,Export Quantity,1995,1135518
Canada,Cattle,Export Quantity,1996,1514250
Canada,Cattle,Export Quantity,1997,1382980
Canada,Cattle,Export Quantity,1998,1318003
Canada,Cattle,Export Quantity,2001,1309886
Canada,Cattle,Export Quantity,2002,1690708
Canada,Cattle,Export Quantity,2006,1045081
Canada,Cattle,Export Quantity,2007,1432703
Canada,Cattle,Export Quantity,2008,1627602
Canada,Cattle,Export Quantity,2009,1092483
Canada,Cattle,Export Quantity,2010,1089264
Canada,Cattle,Export Quantity,2013,1047899
Canada,Pigs,Export Quantity,1984,1346472
Canada,Pigs,Export Quantity,1985,1152442
Canada,Pigs,Export Quantity,1989,1204403
Canada,Pigs,Export Quantity,1991,1065904
Canada,Pigs,Export Quantity,1995,1748351
Canada,Pigs,Export Quantity,1996,2779067
Canada,Pigs,Export Quantity,1997,3180778
Canada,Pigs,Export Quantity,1998,4122807
Canada,Pigs,Export Quantity,1999,4137316
Canada,Pigs,Export Quantity,2000,4359682
Canada,Pigs,Export Quantity,2001,5344239
Canada,Pigs,Export Quantity,2002,5741363
Canada,Pigs,Export Quantity,2003,7442352
Canada,Pigs,Export Quantity,2004,8511409
Canada,Pigs,Export Quantity,2005,8214983
Canada,Pigs,Export Quantity,2006,8776985
Canada,Pigs,Export Quantity,2007,10031949
Canada,Pigs,Export Quantity,2008,9357045
Canada,Pigs,Export Quantity,2009,6375667
Canada,Pigs,Export Quantity,2010,5761318
Canada,Pigs,Export Quantity,2011,5821056
Canada,Pigs,Export Quantity,2012,5676354
Canada,Pigs,Export Quantity,2013,4975472
China,Pigs,Import Quantity,1962,1106158
China,Pigs,Import Quantity,1963,1488383
China,Pigs,Import Quantity,1964,1785619
China,Pigs,Import Quantity,1965,1914525
China,Pigs,Import Quantity,1966,1969665
China,Pigs,Import Quantity,1967,1843835
China,Pigs,Import Quantity,1968,1822968
China,Pigs,Import Quantity,1969,1807780
China,Pigs,Import Quantity,1970,1844115
China,Pigs,Import Quantity,1971,2396747
China,Pigs,Import Quantity,1972,2630841
China,Pigs,Import Quantity,1973,2642806
China,Pigs,Import Quantity,1974,2581398
China,Pigs,Import Quantity,1975,2747623
China,Pigs,Import Quantity,1976,2956453
China,Pigs,Import Quantity,1977,2984826
China,Pigs,Import Quantity,1978,3077518
China,Pigs,Import Quantity,1979,3049692
China,Pigs,Import Quantity,1980,4506704
China,Pigs,Import Quantity,1981,3151798
China,Pigs,Import Quantity,1982,3283396
China,Pigs,Import Quantity,1983,3205074
China,Pigs,Import Quantity,1984,3163423
China,Pigs,Import Quantity,1985,3120056
China,Pigs,Import Quantity,1986,3237449
China,Pigs,Import Quantity,1987,3131774
China,Pigs,Import Quantity,1988,3073821
China,Pigs,Import Quantity,1989,2978759
China,Pigs,Import Quantity,1990,3006811
China,Pigs,Import Quantity,1991,2953543
China,Pigs,Import Quantity,1992,2938805
China,Pigs,Import Quantity,1993,2755139
China,Pigs,Import Quantity,1994,2733640
China,Pigs,Import Quantity,1995,2657046
China,Pigs,Import Quantity,1996,2423255
China,Pigs,Import Quantity,1997,2284452
China,Pigs,Import Quantity,1998,2179669
China,Pigs,Import Quantity,1999,2002818
China,Pigs,Import Quantity,2000,2000945
China,Pigs,Import Quantity,2001,1980278
China,Pigs,Import Quantity,2002,1853281
China,Pigs,Import Quantity,2003,1896404
China,Pigs,Import Quantity,2004,1999879
China,Pigs,Import Quantity,2005,1803036
China,Pigs,Import Quantity,2006,1712710
China,Pigs,Import Quantity,2007,1606846
China,Pigs,Import Quantity,2008,1601162
China,Pigs,Import Quantity,2009,1698202
China,Pigs,Import Quantity,2010,1725946
China,Pigs,Import Quantity,2011,1574100
China,Pigs,Import Quantity,2012,1658401
China,Pigs,Import Quantity,2013,1704075
China,Pigs,Export Quantity,1963,1330200
China,Pigs,Export Quantity,1964,1655900
China,Pigs,Export Quantity,1965,1726253
China,Pigs,Export Quantity,1966,1958348
China,Pigs,Export Quantity,1967,1833947
China,Pigs,Export Quantity,1968,1840050
China,Pigs,Export Quantity,1969,1816835
China,Pigs,Export Quantity,1970,1864384
China,Pigs,Export Quantity,1971,2396813
China,Pigs,Export Quantity,1972,2680042
China,Pigs,Export Quantity,1973,2760262
China,Pigs,Export Quantity,1974,2540706
China,Pigs,Export Quantity,1975,2715007
China,Pigs,Export Quantity,1976,2916690
China,Pigs,Export Quantity,1977,2980000
China,Pigs,Export Quantity,1978,3114000
China,Pigs,Export Quantity,1979,3078519
China,Pigs,Export Quantity,1980,4547840
China,Pigs,Export Quantity,1981,3189253
China,Pigs,Export Quantity,1982,3253247
China,Pigs,Export Quantity,1983,3216712
China,Pigs,Export Quantity,1984,3091387
China,Pigs,Export Quantity,1985,3007383
China,Pigs,Export Quantity,1986,3122620
China,Pigs,Export Quantity,1987,3030179
China,Pigs,Export Quantity,1988,3031078
China,Pigs,Export Quantity,1989,2973800
China,Pigs,Export Quantity,1990,2999249
China,Pigs,Export Quantity,1991,2850809
China,Pigs,Export Quantity,1992,2916075
China,Pigs,Export Quantity,1993,2727064
China,Pigs,Export Quantity,1994,2704692
China,Pigs,Export Quantity,1995,2539033
China,Pigs,Export Quantity,1996,2414789
China,Pigs,Export Quantity,1997,2281521
China,Pigs,Export Quantity,1998,2204115
China,Pigs,Export Quantity,1999,1961250
China,Pigs,Export Quantity,2000,2038930
China,Pigs,Export Quantity,2001,1972512
China,Pigs,Export Quantity,2002,1888606
China,Pigs,Export Quantity,2003,1887295
China,Pigs,Export Quantity,2004,1972911
China,Pigs,Export Quantity,2005,1768772
China,Pigs,Export Quantity,2006,1722541
China,Pigs,Export Quantity,2007,1609008
China,Pigs,Export Quantity,2008,1645411
China,Pigs,Export Quantity,2009,1689949
China,Pigs,Export Quantity,2010,1717813
China,Pigs,Export Quantity,2011,1562224
China,Pigs,Export Quantity,2012,1642190
China,Pigs,Export Quantity,2013,1682811
"China, Hong Kong SAR",Pigs,Import Quantity,1962,1030300
"China, Hong Kong SAR",Pigs,Import Quantity,1963,1401600
"China, Hong Kong SAR",Pigs,Import Quantity,1964,1694300
"China, Hong Kong SAR",Pigs,Import Quantity,1965,1829200
"China, Hong Kong SAR",Pigs,Import Quantity,1966,1875883
"China, Hong Kong SAR",Pigs,Import Quantity,1967,1760249
"China, Hong Kong SAR",Pigs,Import Quantity,1968,1749480
"China, Hong Kong SAR",Pigs,Import Quantity,1969,1728000
"China, Hong Kong SAR",Pigs,Import Quantity,1970,1760354
"China, Hong Kong SAR",Pigs,Import Quantity,1971,2300670
"China, Hong Kong SAR",Pigs,Import Quantity,1972,2537863
"China, Hong Kong SAR",Pigs,Import Quantity,1973,2547675
"China, Hong Kong SAR",Pigs,Import Quantity,1974,2470859
"China, Hong Kong SAR",Pigs,Import Quantity,1975,2643847
"China, Hong Kong SAR",Pigs,Import Quantity,1976,2826443
"China, Hong Kong SAR",Pigs,Import Quantity,1977,2857047
"China, Hong Kong SAR",Pigs,Import Quantity,1978,2939699
"China, Hong Kong SAR",Pigs,Import Quantity,1979,2896154
"China, Hong Kong SAR",Pigs,Import Quantity,1980,4339265
"China, Hong Kong SAR",Pigs,Import Quantity,1981,2984475
"China, Hong Kong SAR",Pigs,Import Quantity,1982,3102102
"China, Hong Kong SAR",Pigs,Import Quantity,1983,3052560
"China, Hong Kong SAR",Pigs,Import Quantity,1984,2996682
"China, Hong Kong SAR",Pigs,Import Quantity,1985,2977683
"China, Hong Kong SAR",Pigs,Import Quantity,1986,3085092
"China, Hong Kong SAR",Pigs,Import Quantity,1987,2980957
"China, Hong Kong SAR",Pigs,Import Quantity,1988,2923295
"China, Hong Kong SAR",Pigs,Import Quantity,1989,2821266
"China, Hong Kong SAR",Pigs,Import Quantity,1990,2847821
"China, Hong Kong SAR",Pigs,Import Quantity,1991,2821423
"China, Hong Kong SAR",Pigs,Import Quantity,1992,2792405
"China, Hong Kong SAR",Pigs,Import Quantity,1993,2605277
"China, Hong Kong SAR",Pigs,Import Quantity,1994,2569200
"China, Hong Kong SAR",Pigs,Import Quantity,1995,2395028
"China, Hong Kong SAR",Pigs,Import Quantity,1996,2257619
"China, Hong Kong SAR",Pigs,Import Quantity,1997,2125953
"China, Hong Kong SAR",Pigs,Import Quantity,1998,2018467
"China, Hong Kong SAR",Pigs,Import Quantity,1999,1856896
"China, Hong Kong SAR",Pigs,Import Quantity,2000,1862372
"China, Hong Kong SAR",Pigs,Import Quantity,2001,1845760
"China, Hong Kong SAR",Pigs,Import Quantity,2002,1740337
"China, Hong Kong SAR",Pigs,Import Quantity,2003,1773106
"China, Hong Kong SAR",Pigs,Import Quantity,2004,1874838
"China, Hong Kong SAR",Pigs,Import Quantity,2005,1678583
"China, Hong Kong SAR",Pigs,Import Quantity,2006,1592978
"China, Hong Kong SAR",Pigs,Import Quantity,2007,1488037
"China, Hong Kong SAR",Pigs,Import Quantity,2008,1494999
"China, Hong Kong SAR",Pigs,Import Quantity,2009,1601623
"China, Hong Kong SAR",Pigs,Import Quantity,2010,1636044
"China, Hong Kong SAR",Pigs,Import Quantity,2011,1467863
"China, Hong Kong SAR",Pigs,Import Quantity,2012,1544345
"China, Hong Kong SAR",Pigs,Import Quantity,2013,1578858
"China, mainland",Pigs,Export Quantity,1963,1301900
"China, mainland",Pigs,Export Quantity,1964,1646700
"China, mainland",Pigs,Export Quantity,1965,1718600
"China, mainland",Pigs,Export Quantity,1966,1951500
"China, mainland",Pigs,Export Quantity,1967,1816000
"China, mainland",Pigs,Export Quantity,1968,1830300
"China, mainland",Pigs,Export Quantity,1969,1800000
"China, mainland",Pigs,Export Quantity,1970,1830000
"China, mainland",Pigs,Export Quantity,1971,2380000
"China, mainland",Pigs,Export Quantity,1972,2660000
"China, mainland",Pigs,Export Quantity,1973,2690000
"China, mainland",Pigs,Export Quantity,1974,2510000
"China, mainland",Pigs,Export Quantity,1975,2715000
"China, mainland",Pigs,Export Quantity,1976,2910000
"China, mainland",Pigs,Export Quantity,1977,2970000
"China, mainland",Pigs,Export Quantity,1978,3100000
"China, mainland",Pigs,Export Quantity,1979,3030000
"China, mainland",Pigs,Export Quantity,1980,4450000
"China, mainland",Pigs,Export Quantity,1981,3178500
"China, mainland",Pigs,Export Quantity,1982,3240000
"China, mainland",Pigs,Export Quantity,1983,3210000
"China, mainland",Pigs,Export Quantity,1984,3080000
"China, mainland",Pigs,Export Quantity,1985,2955470
"China, mainland",Pigs,Export Quantity,1986,3104856
"China, mainland",Pigs,Export Quantity,1987,3020368
"China, mainland",Pigs,Export Quantity,1988,3027309
"China, mainland",Pigs,Export Quantity,1989,2973535
"China, mainland",Pigs,Export Quantity,1990,2999123
"China, mainland",Pigs,Export Quantity,1991,2849669
"China, mainland",Pigs,Export Quantity,1992,2914438
"China, mainland",Pigs,Export Quantity,1993,2724545
"China, mainland",Pigs,Export Quantity,1994,2703418
"China, mainland",Pigs,Export Quantity,1995,2537417
"China, mainland",Pigs,Export Quantity,1996,2411298
"China, mainland",Pigs,Export Quantity,1997,2280647
"China, mainland",Pigs,Export Quantity,1998,2204115
"China, mainland",Pigs,Export Quantity,1999,1961250
"China, mainland",Pigs,Export Quantity,2000,2038930
"China, mainland",Pigs,Export Quantity,2001,1972512
"China, mainland",Pigs,Export Quantity,2002,1888606
"China, mainland",Pigs,Export Quantity,2003,1887295
"China, mainland",Pigs,Export Quantity,2004,1972911
"China, mainland",Pigs,Export Quantity,2005,1768772
"China, mainland",Pigs,Export Quantity,2006,1722540
"China, mainland",Pigs,Export Quantity,2007,1609008
"China, mainland",Pigs,Export Quantity,2008,1645411
"China, mainland",Pigs,Export Quantity,2009,1689949
"China, mainland",Pigs,Export Quantity,2010,1717813
"China, mainland",Pigs,Export Quantity,2011,1562224
"China, mainland",Pigs,Export Quantity,2012,1642190
"China, mainland",Pigs,Export Quantity,2013,1682630
Denmark,Pigs,Export Quantity,1997,1196619
Denmark,Pigs,Export Quantity,1998,1732817
Denmark,Pigs,Export Quantity,1999,1426979
Denmark,Pigs,Export Quantity,2000,1483754
Denmark,Pigs,Export Quantity,2001,1458584
Denmark,Pigs,Export Quantity,2002,2021186
Denmark,Pigs,Export Quantity,2003,2134753
Denmark,Pigs,Export Quantity,2004,2495938
Denmark,Pigs,Export Quantity,2005,3272909
Denmark,Pigs,Export Quantity,2006,3828907
Denmark,Pigs,Export Quantity,2007,4231819
Denmark,Pigs,Export Quantity,2008,4609655
Denmark,Pigs,Export Quantity,2009,6089573
Denmark,Pigs,Export Quantity,2010,6396984
Denmark,Pigs,Export Quantity,2011,8591742
Denmark,Pigs,Export Quantity,2012,9732865
Denmark,Pigs,Export Quantity,2013,10386381
France,Cattle,Export Quantity,1975,1354025
France,Cattle,Export Quantity,1976,1375720
France,Cattle,Export Quantity,1977,1092989
France,Cattle,Export Quantity,1978,1320088
France,Cattle,Export Quantity,1979,1480857
France,Cattle,Export Quantity,1980,1522417
France,Cattle,Export Quantity,1981,1611737
France,Cattle,Export Quantity,1982,1629590
France,Cattle,Export Quantity,1983,1612799
France,Cattle,Export Quantity,1984,1571301
France,Cattle,Export Quantity,1985,1608806
France,Cattle,Export Quantity,1986,1790060
France,Cattle,Export Quantity,1987,1684053
France,Cattle,Export Quantity,1988,1652114
France,Cattle,Export Quantity,1989,1521924
France,Cattle,Export Quantity,1990,1437851
France,Cattle,Export Quantity,1991,1585611
France,Cattle,Export Quantity,1992,1698036
France,Cattle,Export Quantity,1993,1779804
France,Cattle,Export Quantity,1994,1783097
France,Cattle,Export Quantity,1995,1763388
France,Cattle,Export Quantity,1996,1763225
France,Cattle,Export Quantity,1997,1787250
France,Cattle,Export Quantity,1998,1668038
France,Cattle,Export Quantity,1999,1597459
France,Cattle,Export Quantity,2000,1561374
France,Cattle,Export Quantity,2001,1421940
France,Cattle,Export Quantity,2002,1732343
France,Cattle,Export Quantity,2003,1717920
France,Cattle,Export Quantity,2004,1551796
France,Cattle,Export Quantity,2005,1478322
France,Cattle,Export Quantity,2006,1443929
France,Cattle,Export Quantity,2007,1330036
France,Cattle,Export Quantity,2008,1196752
France,Cattle,Export Quantity,2009,1306576
France,Cattle,Export Quantity,2010,1403448
France,Cattle,Export Quantity,2011,1563657
France,Cattle,Export Quantity,2012,1393851
France,Cattle,Export Quantity,2013,1309566
France,Pigs,Import Quantity,1969,1231897
France,Pigs,Import Quantity,1970,1127734
France,Pigs,Import Quantity,1971,1129313
France,Pigs,Import Quantity,1975,1171708
France,Pigs,Import Quantity,1976,1292675
France,Pigs,Import Quantity,1977,1330490
France,Pigs,Import Quantity,1978,1658430
France,Pigs,Import Quantity,1979,1754519
France,Pigs,Import Quantity,1980,1970036
France,Pigs,Import Quantity,1981,2014842
France,Pigs,Import Quantity,1982,1466239
France,Pigs,Import Quantity,1983,1797995
France,Pigs,Import Quantity,1984,1759603
France,Pigs,Import Quantity,1985,1471161
France,Pigs,Import Quantity,1986,1613527
France,Pigs,Import Quantity,1987,1601102
France,Pigs,Import Quantity,1988,1498988
France,Pigs,Import Quantity,1989,1494717
France,Pigs,Import Quantity,1990,1299194
France,Pigs,Import Quantity,1991,1296979
France,Pigs,Import Quantity,1992,1268769
France,Sheep,Import Quantity,1988,1080847
France,Sheep,Import Quantity,1989,1017510
France,Sheep,Import Quantity,1990,1523797
France,Sheep,Import Quantity,1991,1616760
France,Sheep,Import Quantity,1992,1678310
France,Sheep,Import Quantity,1993,1516006
France,Sheep,Import Quantity,1994,1210693
France,Sheep,Export Quantity,1990,1008801
France,Sheep,Export Quantity,1991,1282554
France,Sheep,Export Quantity,1992,1321482
France,Sheep,Export Quantity,1993,1087170
France,Sheep,Export Quantity,1996,1068091
Germany,Pigs,Import Quantity,1973,1065745
Germany,Pigs,Import Quantity,1974,1039338
Germany,Pigs,Import Quantity,1975,1050339
Germany,Pigs,Import Quantity,1979,1057130
Germany,Pigs,Import Quantity,1981,1096391
Germany,Pigs,Import Quantity,1985,1083662
Germany,Pigs,Import Quantity,1987,1118510
Germany,Pigs,Import Quantity,1988,1350248
Germany,Pigs,Import Quantity,1989,1029612
Germany,Pigs,Import Quantity,1990,1088074
Germany,Pigs,Import Quantity,1991,1174658
Germany,Pigs,Import Quantity,1992,2276363
Germany,Pigs,Import Quantity,1993,1175449
Germany,Pigs,Import Quantity,1994,1733510
Germany,Pigs,Import Quantity,1995,1992419
Germany,Pigs,Import Quantity,1996,3163354
Germany,Pigs,Import Quantity,1997,1558445
Germany,Pigs,Import Quantity,1998,2522160
Germany,Pigs,Import Quantity,1999,2811025
Germany,Pigs,Import Quantity,2000,3188092
Germany,Pigs,Import Quantity,2001,3239627
Germany,Pigs,Import Quantity,2002,3908357
Germany,Pigs,Import Quantity,2003,4537551
Germany,Pigs,Import Quantity,2004,4638280
Germany,Pigs,Import Quantity,2005,5736944
Germany,Pigs,Import Quantity,2006,6701770
Germany,Pigs,Import Quantity,2007,8296509
Germany,Pigs,Import Quantity,2008,9105682
Germany,Pigs,Import Quantity,2009,10735473
Germany,Pigs,Import Quantity,2010,12173194
Germany,Pigs,Import Quantity,2011,12902105
Germany,Pigs,Import Quantity,2012,14191997
Germany,Pigs,Import Quantity,2013,14150339
Germany,Pigs,Export Quantity,1981,1180478
Germany,Pigs,Export Quantity,1986,2139743
Germany,Pigs,Export Quantity,1987,1976933
Germany,Pigs,Export Quantity,1988,1721456
Germany,Pigs,Export Quantity,1989,1793515
Germany,Pigs,Export Quantity,1990,2072107
Germany,Pigs,Export Quantity,1991,2129233
Germany,Pigs,Export Quantity,1992,1522850
Germany,Pigs,Export Quantity,1993,1117776
Germany,Pigs,Export Quantity,1998,1066648
Germany,Pigs,Export Quantity,1999,1073227
Germany,Pigs,Export Quantity,2000,1086761
Germany,Pigs,Export Quantity,2002,1119232
Germany,Pigs,Export Quantity,2005,1106904
Germany,Pigs,Export Quantity,2006,1152127
Germany,Pigs,Export Quantity,2007,1301797
Germany,Pigs,Export Quantity,2008,1665380
Germany,Pigs,Export Quantity,2009,2484619
Germany,Pigs,Export Quantity,2010,2414878
Germany,Pigs,Export Quantity,2011,2747865
Germany,Pigs,Export Quantity,2012,3470900
Germany,Pigs,Export Quantity,2013,3216293
Hungary,Pigs,Import Quantity,2010,1076454
Hungary,Sheep,Export Quantity,1970,1008173
Hungary,Sheep,Export Quantity,1971,1205869
Hungary,Sheep,Export Quantity,1979,1034594
Hungary,Sheep,Export Quantity,1980,1006492
Hungary,Sheep,Export Quantity,1981,1020809
Hungary,Sheep,Export Quantity,1982,1189622
Hungary,Sheep,Export Quantity,1983,1418753
Hungary,Sheep,Export Quantity,1984,1398467
Hungary,Sheep,Export Quantity,1985,1234001
Hungary,Sheep,Export Quantity,1987,1165606
Hungary,Sheep,Export Quantity,1988,1374059
Hungary,Sheep,Export Quantity,1989,1252180
Hungary,Sheep,Export Quantity,1990,1075018
Hungary,Sheep,Export Quantity,1991,1372802
Hungary,Sheep,Export Quantity,1992,1185000
Hungary,Sheep,Export Quantity,1994,1064197
Hungary,Sheep,Export Quantity,1995,1013858
Hungary,Sheep,Export Quantity,2003,1072067
Hungary,Sheep,Export Quantity,2005,1031153
Iran (Islamic Republic of),Sheep,Import Quantity,1975,1350000
Iran (Islamic Republic of),Sheep,Import Quantity,1976,1650000
Iran (Islamic Republic of),Sheep,Import Quantity,1977,2900000
Iran (Islamic Republic of),Sheep,Import Quantity,1978,1425283
Iran (Islamic Republic of),Sheep,Import Quantity,1979,1550000
Iran (Islamic Republic of),Sheep,Import Quantity,1980,1304000
Iran (Islamic Republic of),Sheep,Export Quantity,1994,1063540
Iran (Islamic Republic of),Sheep,Export Quantity,2005,1257203
Iran (Islamic Republic of),Sheep,Export Quantity,2007,1098343
Iran (Islamic Republic of),Sheep,Export Quantity,2008,1248884
Italy,Cattle,Import Quantity,1967,1301316
Italy,Cattle,Import Quantity,1968,1657763
Italy,Cattle,Import Quantity,1969,1956241
Italy,Cattle,Import Quantity,1970,2100331
Italy,Cattle,Import Quantity,1971,2333030
Italy,Cattle,Import Quantity,1972,2613962
Italy,Cattle,Import Quantity,1973,2239559
Italy,Cattle,Import Quantity,1974,1786012
Italy,Cattle,Import Quantity,1975,2304606
Italy,Cattle,Import Quantity,1976,2355511
Italy,Cattle,Import Quantity,1977,1894450
Italy,Cattle,Import Quantity,1978,2145684
Italy,Cattle,Import Quantity,1979,2340548
Italy,Cattle,Import Quantity,1980,2346491
Italy,Cattle,Import Quantity,1981,2275348
Italy,Cattle,Import Quantity,1982,2499739
Italy,Cattle,Import Quantity,1983,2324160
Italy,Cattle,Import Quantity,1984,2162391
Italy,Cattle,Import Quantity,1985,2406222
Italy,Cattle,Import Quantity,1986,2334746
Italy,Cattle,Import Quantity,1987,2168551
Italy,Cattle,Import Quantity,1988,1937698
Italy,Cattle,Import Quantity,1989,2065784
Italy,Cattle,Import Quantity,1990,1970914
Italy,Cattle,Import Quantity,1991,1970860
Italy,Cattle,Import Quantity,1992,1847655
Italy,Cattle,Import Quantity,1993,1551154
Italy,Cattle,Import Quantity,1994,1524468
Italy,Cattle,Import Quantity,1995,1342630
Italy,Cattle,Import Quantity,1996,1487703
Italy,Cattle,Import Quantity,1997,1675102
Italy,Cattle,Import Quantity,1998,1925171
Italy,Cattle,Import Quantity,1999,1598885
Italy,Cattle,Import Quantity,2000,1562202
Italy,Cattle,Import Quantity,2001,1341009
Italy,Cattle,Import Quantity,2002,1467988
Italy,Cattle,Import Quantity,2003,1441226
Italy,Cattle,Import Quantity,2004,1468059
Italy,Cattle,Import Quantity,2005,1349378
Italy,Cattle,Import Quantity,2006,1474075
Italy,Cattle,Import Quantity,2007,1229484
Italy,Cattle,Import Quantity,2008,1100083
Italy,Cattle,Import Quantity,2009,1130587
Italy,Cattle,Import Quantity,2010,1368146
Italy,Cattle,Import Quantity,2011,1341117
Italy,Cattle,Import Quantity,2012,1212348
Italy,Cattle,Import Quantity,2013,1155942
Italy,Pigs,Import Quantity,1980,1136675
Italy,Pigs,Import Quantity,1986,1635204
Italy,Pigs,Import Quantity,1987,1528224
Italy,Pigs,Import Quantity,1988,1603580
Italy,Pigs,Import Quantity,1989,1679417
Italy,Pigs,Import Quantity,1990,1879882
Italy,Pigs,Import Quantity,1991,1709533
Italy,Pigs,Import Quantity,1992,1857569
Italy,Pigs,Import Quantity,1993,1652610
Italy,Pigs,Import Quantity,1994,1106230
Italy,Pigs,Import Quantity,1996,1014711
Italy,Pigs,Import Quantity,1998,1128616
Italy,Pigs,Import Quantity,1999,1166425
Italy,Pigs,Import Quantity,2000,1068955
Italy,Pigs,Import Quantity,2001,1298136
Italy,Pigs,Import Quantity,2002,1116789
Italy,Pigs,Import Quantity,2003,1017972
Italy,Pigs,Import Quantity,2011,1131253
Italy,Sheep,Import Quantity,1969,1039688
Italy,Sheep,Import Quantity,1970,1459540
Italy,Sheep,Import Quantity,1971,1846174
Italy,Sheep,Import Quantity,1972,1941713
