World,2002,18739854
World,2002,18739854
World,2002,18739854
World,1999,17598842
World,1999,17598842
World,1999,17598842
World,1998,17062832
World,1998,17062832
World,1998,17062832
World,2005,17032915
World,2005,17032915
World,2005,17032915
World,2003,16487226
World,2003,16487226
World,2003,16487226
World,2013,16372996
World,2013,16372996
World,2013,16372996
World,2006,16342830
World,2006,16342830
World,2006,16342830
World,2000,16083988
World,2000,16083988
World,2000,16083988
World,2004,15577171
World,2004,15577171
World,2004,15577171
World,2012,15574578
World,2012,15574578
World,2012,15574578
World,2007,15444367
World,2007,15444367
World,2007,15444367
World,2008,15302385
World,2008,15302385
World,2008,15302385
World,2011,15234284
World,2011,15234284
World,2011,15234284
World,2010,15169251
World,2010,15169251
World,2010,15169251
World,2001,15037460
World,2001,15037460
World,2001,15037460
World,2009,14187553
World,2009,14187553
World,2009,14187553
Net Food Importing Developing Countries,2013,8259538
Net Food Importing Developing Countries,2013,8259538
Net Food Importing Developing Countries,2013,8259538
Africa,2013,7614543
Africa,2013,7614543
Africa,2013,7614543
Low Income Food Deficit Countries,2013,7569734
Low Income Food Deficit Countries,2013,7569734
Low Income Food Deficit Countries,2013,7569734
Least Developed Countries,2013,7326703
Least Developed Countries,2013,7326703
Least Developed Countries,2013,7326703
Net Food Importing Developing Countries,2012,7314850
Net Food Importing Developing Countries,2012,7314850
Net Food Importing Developing Countries,2012,7314850
Low Income Food Deficit Countries,2012,7077235
Low Income Food Deficit Countries,2012,7077235
Low Income Food Deficit Countries,2012,7077235
Africa,2012,6908266
Africa,2012,6908266
Africa,2012,6908266
Oceania,2001,6820700
Oceania,2001,6820700
Australia & New Zealand,2001,6820700
Australia & New Zealand,2001,6820700
Australia & New Zealand,2001,6820700
Oceania,2001,6820700
Australia,2001,6818250
Australia,2001,6818250
Australia,2001,6818250
Least Developed Countries,2012,6813452
Least Developed Countries,2012,6813452
Least Developed Countries,2012,6813452
Low Income Food Deficit Countries,2002,6737684
Low Income Food Deficit Countries,2002,6737684
Low Income Food Deficit Countries,2002,6737684
Oceania,2002,6109180
Australia & New Zealand,2002,6109180
Australia & New Zealand,2002,6109180
Oceania,2002,6109180
Oceania,2002,6109180
Australia & New Zealand,2002,6109180
Net Food Importing Developing Countries,2011,6083835
Net Food Importing Developing Countries,2011,6083835
Net Food Importing Developing Countries,2011,6083835
Australia,2002,6076802
Australia,2002,6076802
Australia,2002,6076802
Low Income Food Deficit Countries,2011,5913543
Low Income Food Deficit Countries,2011,5913543
Low Income Food Deficit Countries,2011,5913543
Low Income Food Deficit Countries,2010,5715072
Low Income Food Deficit Countries,2010,5715072
Low Income Food Deficit Countries,2010,5715072
Africa,2011,5705195
Africa,2011,5705195
Africa,2011,5705195
Low Income Food Deficit Countries,2004,5639316
Low Income Food Deficit Countries,2004,5639316
Low Income Food Deficit Countries,2004,5639316
Net Food Importing Developing Countries,1999,5599679
Net Food Importing Developing Countries,1999,5599679
Net Food Importing Developing Countries,1999,5599679
Least Developed Countries,2011,5599354
Least Developed Countries,2011,5599354
Least Developed Countries,2011,5599354
Low Income Food Deficit Countries,1999,5531075
Low Income Food Deficit Countries,1999,5531075
Low Income Food Deficit Countries,1999,5531075
Low Income Food Deficit Countries,2003,5519728
Low Income Food Deficit Countries,2003,5519728
Low Income Food Deficit Countries,2003,5519728
Australia & New Zealand,2000,5433772
Oceania,2000,5433772
Australia & New Zealand,2000,5433772
Oceania,2000,5433772
Oceania,2000,5433772
Australia & New Zealand,2000,5433772
Australia,2000,5421408
Australia,2000,5421408
Australia,2000,5421408
Oceania,1998,5322443
Australia & New Zealand,1998,5322443
Australia & New Zealand,1998,5322443
Australia & New Zealand,1998,5322443
Oceania,1998,5322443
Oceania,1998,5322443
Oceania,1999,5286442
Australia & New Zealand,1999,5286442
Oceania,1999,5286442
Australia & New Zealand,1999,5286442
Australia & New Zealand,1999,5286442
Oceania,1999,5286442
Net Food Importing Developing Countries,2010,5224001
Net Food Importing Developing Countries,2010,5224001
Net Food Importing Developing Countries,2010,5224001
Low Income Food Deficit Countries,2005,5199421
Low Income Food Deficit Countries,2005,5199421
Low Income Food Deficit Countries,2005,5199421
Low Income Food Deficit Countries,2006,5195688
Low Income Food Deficit Countries,2006,5195688
Low Income Food Deficit Countries,2006,5195688
Europe,2011,5176092
Europe,2011,5176092
Europe,2011,5176092
Australia,1998,5117443
Australia,1998,5117443
Australia,1998,5117443
Net Food Importing Developing Countries,2002,5095957
Net Food Importing Developing Countries,2002,5095957
Net Food Importing Developing Countries,2002,5095957
Australia,1999,5086442
Australia,1999,5086442
Australia,1999,5086442
European Union,2011,5083986
European Union,2011,5083986
European Union,2011,5083986
Europe,1999,5081130
Europe,1999,5081130
Europe,1999,5081130
Net Food Importing Developing Countries,1998,5076078
Net Food Importing Developing Countries,1998,5076078
Net Food Importing Developing Countries,1998,5076078
European Union,1999,5066102
European Union,1999,5066102
European Union,1999,5066102
Low Income Food Deficit Countries,2008,5040977
Low Income Food Deficit Countries,2008,5040977
Low Income Food Deficit Countries,2008,5040977
Africa,2010,4979454
Africa,2010,4979454
Africa,2010,4979454
Africa,2002,4944583
Africa,2002,4944583
Africa,2002,4944583
Africa,1999,4855347
Africa,1999,4855347
Africa,1999,4855347
Least Developed Countries,1999,4842032
Least Developed Countries,1999,4842032
Least Developed Countries,1999,4842032
Europe,2013,4831079
Europe,2013,4831079
Europe,2013,4831079
Least Developed Countries,2010,4826605
Least Developed Countries,2010,4826605
Least Developed Countries,2010,4826605
Australia & New Zealand,2003,4786099
Oceania,2003,4786099
Australia & New Zealand,2003,4786099
Australia & New Zealand,2003,4786099
Oceania,2003,4786099
Oceania,2003,4786099
Australia,2003,4742432
Australia,2003,4742432
Australia,2003,4742432
European Union,2013,4739709
European Union,2013,4739709
European Union,2013,4739709
Europe,2005,4713336
Europe,2005,4713336
Europe,2005,4713336
Low Income Food Deficit Countries,2007,4687226
Low Income Food Deficit Countries,2007,4687226
Low Income Food Deficit Countries,2007,4687226
European Union,2005,4663326
European Union,2005,4663326
European Union,2005,4663326
Low Income Food Deficit Countries,2009,4613885
Low Income Food Deficit Countries,2009,4613885
Low Income Food Deficit Countries,2009,4613885
Europe,2012,4602039
Europe,2012,4602039
Europe,2012,4602039
Net Food Importing Developing Countries,2003,4599412
Net Food Importing Developing Countries,2003,4599412
Net Food Importing Developing Countries,2003,4599412
Europe,2003,4593638
Europe,2003,4593638
Europe,2003,4593638
Europe,2000,4582343
Europe,2000,4582343
Europe,2000,4582343
European Union,2000,4567817
European Union,2000,4567817
European Union,2000,4567817
Europe,2004,4536042
Europe,2004,4536042
Europe,2004,4536042
European Union,2012,4507008
European Union,2012,4507008
European Union,2012,4507008
Low Income Food Deficit Countries,2000,4495639
Low Income Food Deficit Countries,2000,4495639
Low Income Food Deficit Countries,2000,4495639
European Union,2003,4494714
European Union,2003,4494714
European Union,2003,4494714
Europe,2006,4486087
Europe,2006,4486087
Europe,2006,4486087
Africa,2003,4464885
Africa,2003,4464885
Africa,2003,4464885
Europe,2010,4454207
Europe,2010,4454207
Europe,2010,4454207
European Union,2006,4443409
European Union,2006,4443409
European Union,2006,4443409
Africa,1998,4441192
Africa,1998,4441192
Africa,1998,4441192
Europe,1998,4424721
Europe,1998,4424721
Europe,1998,4424721
European Union,1998,4422542
European Union,1998,4422542
European Union,1998,4422542
European Union,2004,4421391
European Union,2004,4421391
European Union,2004,4421391
Europe,2007,4379138
Europe,2007,4379138
Europe,2007,4379138
European Union,2010,4360829
European Union,2010,4360829
European Union,2010,4360829
European Union,2007,4347810
European Union,2007,4347810
European Union,2007,4347810
Least Developed Countries,2002,4303896
Least Developed Countries,2002,4303896
Least Developed Countries,2002,4303896
Net Food Importing Developing Countries,2004,4277258
Net Food Importing Developing Countries,2004,4277258
Net Food Importing Developing Countries,2004,4277258
Australia & New Zealand,2008,4215116
Oceania,2008,4215116
Oceania,2008,4215116
Australia & New Zealand,2008,4215116
Oceania,2008,4215116
Australia & New Zealand,2008,4215116
Australia,2008,4214989
Australia,2008,4214989
Australia,2008,4214989
Oceania,2005,4190292
Oceania,2005,4190292
Oceania,2005,4190292
Australia & New Zealand,2005,4189753
Australia & New Zealand,2005,4189753
Australia & New Zealand,2005,4189753
Australia & New Zealand,2006,4186525
Australia & New Zealand,2006,4186525
Oceania,2006,4186525
Oceania,2006,4186525
